league_code,team,city,iso2
FIN,Inter Turku,Turku,FI
MEX,Club America,Mexico City,MX
MEX,Club Leon,Leon,MX
POL,Rakow,Czestochowa,PL
POL,Slask Wroclaw,Wroclaw,PL
POL,Widzew Lodz,Lodz,PL
POL,Wisla,Kraków,PL
POL,Zaglebie,Lubin,PL
ROU,FC Botosani,Botosani,RO
ROU,Csikszereda M. Ciuc,Miercurea Ciuc,RO
ROU,Otelul,Galati,RO
SWE,Hacken,Gothenburg,SE
SWE,Djurgarden,Stockholm,SE
SWE,Goteborg,Gothenburg,SE
SWE,Mjallby,Hällevik,SE
SWE,Orgryte,Gothenburg,SE
B1,St. Gilloise,Brussels,BE
P1,Sp Lisbon,Lisbon,PT
T1,Buyuksehyr,Istanbul,TR
BRA,Atletico-MG,Belo Horizonte,BR
DNK,Aarhus,Aarhus,DK
SP1,Alaves,Vitoria-Gasteiz,ES
SP1,Ath Bilbao,Bilbao,ES
SP1,Ath Madrid,Madrid,ES
SP1,Barcelona,Barcelona,ES
SP1,Celta,Vigo,ES
SP1,Elche,Elche,ES
SP1,Espanol,Cornellà de Llobregat,ES
SP1,Getafe,Getafe,ES
SP1,Levante,Valencia,ES
SP1,Malaga,Málaga,ES
SP1,Osasuna,Pamplona,ES
SP1,Santander,Santander,ES
SP1,Vallecano,Madrid,ES
SP1,Betis,Seville,ES
SP1,Real Madrid,Madrid,ES
SP1,Sociedad,San Sebastián,ES
SP1,Sevilla,Seville,ES
SP1,Valencia,Valencia,ES
SP1,Villarreal,Villarreal,ES
F1,Angers,Angers,FR
F1,Auxerre,Auxerre,FR
F1,Brest,Brest,FR
F1,Le Havre,Le Havre,FR
F1,Le Mans,Le Mans,FR
F1,Lens,Lens,FR
F1,Lille,Villeneuve-d'Ascq,FR
F1,Lorient,Lorient,FR
F1,Lyon,Décines-Charpieu,FR
F1,Marseille,Marseille,FR
F1,Monaco,Monaco,MC
F1,Nice,Nice,FR
F1,Paris FC,Paris,FR
F1,Paris SG,Paris,FR
F1,Rennes,Rennes,FR
F1,Strasbourg,Strasbourg,FR
F1,Toulouse,Toulouse,FR
F1,Troyes,Troyes,FR
B1,Anderlecht,Brussels,BE
B1,Antwerp,Antwerp,BE
B1,Beveren,Beveren,BE
B1,Cercle Brugge,Bruges,BE
B1,Charleroi,Charleroi,BE
B1,Club Brugge,Bruges,BE
B1,Genk,Genk,BE
B1,Gent,Ghent,BE
