league_code,team,city,iso2
JPN,Albirex Niigata,Niigata,JP
JPN,Hokkaido Consadole Sapporo,Sapporo,JP
JPN,Iwata,Iwata,JP
JPN,Kofu,Kofu,JP
JPN,Kumamoto,Kumamoto,JP
JPN,Montedio Yamagata,Tendo,JP
JPN,Oita Trinita,Oita,JP
JPN,Omiya Ardija,Saitama,JP
JPN,Sagan Tosu,Tosu,JP
JPN,Shonan Bellmare,Hiratsuka,JP
JPN,Tokushima,Tokushima,JP
JPN,Vegalta Sendai,Sendai,JP
JPN,Yamaga,Matsumoto,JP
JPN,Yokohama FC,Yokohama,JP
MEX,Chiapas,Tuxtla Gutiérrez,MX
MEX,Dorados de Sinaloa,Culiacán,MX
MEX,Leones Negros,Guadalajara,MX
MEX,Lobos BUAP,Puebla,MX
MEX,Mazatlan FC,Mazatlán,MX
MEX,Monarcas,Morelia,MX
MEX,Veracruz,Veracruz,MX
N1,Almere City,Almere,NL
N1,Den Bosch,'s-Hertogenbosch,NL
N1,Dordrecht,Dordrecht,NL
N1,FC Emmen,Emmen,NL
N1,Graafschap,Doetinchem,NL
N1,Heracles,Almelo,NL
N1,NAC Breda,Breda,NL
N1,Roda,Kerkrade,NL
N1,Roda JC,Kerkrade,NL
N1,Roosendaal,Roosendaal,NL
N1,Sparta,Rotterdam,NL
N1,VVV Venlo,Venlo,NL
N1,Vitesse,Arnhem,NL
N1,Volendam,Volendam,NL
N1,Waalwijk,Waalwijk,NL
NOR,Bryne,Bryne,NO
NOR,Ham-Kam,Hamar,NO
NOR,Haugesund,Haugesund,NO
NOR,Honefoss,Hønefoss,NO
NOR,Jerv,Grimstad,NO
NOR,Kongsvinger,Kongsvinger,NO
NOR,Mjondalen,Mjøndalen,NO
NOR,Moss,Moss,NO
NOR,Odd,Skien,NO
NOR,Ranheim,Trondheim,NO
NOR,Sandnes,Sandnes,NO
NOR,Sogndal,Sogndal,NO
NOR,Stabaek,Bekkestua,NO
NOR,Stromsgodset,Drammen,NO
NOR,Ull/Kisa,Jessheim,NO
P1,AVS,Vila das Aves,PT
P1,Academica,Coimbra,PT
P1,Aves,Vila das Aves,PT
P1,Beira Mar,Aveiro,PT
P1,Belenenses,Lisbon,PT
P1,Boavista,Porto,PT
P1,Campomaiorense,Campo Maior,PT
P1,Chaves,Chaves,PT
P1,Est Amadora,Amadora,PT
P1,Farense,Faro,PT
P1,Feirense,Santa Maria da Feira,PT
P1,Leiria,Leiria,PT
P1,Leixoes,Matosinhos,PT
P1,Naval,Figueira da Foz,PT
P1,Olhanense,Olhão,PT
P1,Pacos Ferreira,Paços de Ferreira,PT
P1,Penafiel,Penafiel,PT
P1,Portimonense,Portimão,PT
P1,Salgueiros,Porto,PT
P1,Setubal,Setúbal,PT
P1,Tondela,Tondela,PT
P1,Trofense,Trofa,PT
P1,Uniao Madeira,Funchal,PT
P1,Varzim,Póvoa de Varzim,PT
P1,Vizela,Vizela,PT
POL,Arka Gdynia,Gdynia,PL
POL,GKS Belchatow,Bełchatów,PL
POL,Gornik Z.,Zabrze,PL
POL,LKS Lodz,Lodz,PL
POL,Lechia Gdansk,Gdańsk,PL
POL,Leczna,Łęczna,PL
POL,Legnica,Legnica,PL
POL,Podbeskidzie,Bielsko-Biała,PL
POL,Polonia Warszawa,Warsaw,PL
POL,Puszcza,Niepołomice,PL
POL,Ruch,Chorzów,PL
POL,Ruch Chorzow,Chorzów,PL
POL,Sandecja Nowy S.,Nowy Sącz,PL
POL,Stal Mielec,Mielec,PL
POL,Termalica B-B.,Nieciecza,PL
POL,Warta Poznan,Poznań,PL
POL,Zaglebie Sosnowiec,Sosnowiec,PL
POL,Zawisza,Bydgoszcz,PL
ROU,Academica Clinceni,Clinceni,RO
ROU,Astra,Giurgiu,RO
ROU,Bistrita,Bistrița,RO
ROU,CS Turnu Severin,Drobeta-Turnu Severin,RO
ROU,Calarasi,Călărași,RO
ROU,Ceahlaul,Piatra Neamț,RO
ROU,Chindia Targoviste,Târgoviște,RO
ROU,Concordia,Chiajna,RO
ROU,Corona Brasov,Brașov,RO
ROU,Daco-Getica Bucuresti,Bucharest,RO
ROU,Din. Bucuresti,Bucharest,RO
ROU,FC Arges,Pitești,RO
ROU,FC Brasov,Brașov,RO
ROU,FC Hermannstadt,Sibiu,RO
ROU,Gaz Metan Medias,Mediaș,RO
ROU,Gloria Buzau,Buzău,RO
ROU,Metaloglobus Bucharest,Bucharest,RO
ROU,Mioveni,Mioveni,RO
ROU,Navodari,Năvodari,RO
ROU,Pandurii,Târgu Jiu,RO
ROU,Poli Iasi,Iași,RO
ROU,Poli Timisoara,Timișoara,RO
ROU,Targu Mures,Târgu Mureș,RO
ROU,U Craiova 1948,Craiova,RO
ROU,U. Cluj,Cluj-Napoca,RO
ROU,Unirea Slobozia,Slobozia,RO
ROU,Univ. Craiova,Craiova,RO
ROU,Vaslui,Vaslui,RO
ROU,Viitorul Constanta,Ovidiu,RO
RUS,Amkar,Perm,RU
RUS,Arsenal Tula,Tula,RU
RUS,FK Anzi Makhackala,Makhachkala,RU
RUS,Khimki,Khimki,RU
RUS,Kuban,Krasnodar,RU
RUS,M. Saransk,Saransk,RU
RUS,Pari NN,Nizhny Novgorod,RU
RUS,R. Volgograd,Volgograd,RU
RUS,SKA Khabarovsk,Khabarovsk,RU
RUS,Sochi,Sochi,RU
RUS,Spartak Moscow,Moscow,RU
RUS,T. Moscow,Moscow,RU
RUS,Tambov,Tambov,RU
RUS,Tomsk,Tomsk,RU
RUS,Torpedo Moscow,Moscow,RU
RUS,Tosno,Saint Petersburg,RU
RUS,Ufa,Ufa,RU
RUS,Ural,Yekaterinburg,RU
RUS,Vladikavkaz,Vladikavkaz,RU
RUS,Volga N. Novgorod,Nizhny Novgorod,RU
RUS,Volgar-Astrakhan,Astrakhan,RU
RUS,Yenisey,Krasnoyarsk,RU
SC0,Dunfermline,Dunfermline,GB
SC0,Gretna,Motherwell,GB
SC0,Hamilton,Hamilton,GB
SC0,Inverness C,Inverness,GB
SC0,Livingston,Livingston,GB
SC0,Partick,Glasgow,GB
SC0,Ross County,Dingwall,GB
SP1,Albacete,Albacete,ES
SP1,Almeria,Almería,ES
SP1,Cadiz,Cádiz,ES
SP1,Cordoba,Córdoba,ES
SP1,Eibar,Eibar,ES
SP1,Gimnastic,Tarragona,ES
SP1,Girona,Girona,ES
SP1,Granada,Granada,ES
SP1,Hercules,Alicante,ES
SP1,Huesca,Huesca,ES
SP1,Las Palmas,Las Palmas de Gran Canaria,ES
SP1,Leganes,Leganés,ES
SP1,Mallorca,Palma,ES
SP1,Murcia,Murcia,ES
SP1,Numancia,Soria,ES
SP1,Oviedo,Oviedo,ES
SP1,Recreativo,Huelva,ES
SP1,Sp Gijon,Gijón,ES
SP1,Tenerife,Santa Cruz de Tenerife,ES
SP1,Valladolid,Valladolid,ES
SP1,Xerez,Jerez de la Frontera,ES
SP1,Zaragoza,Zaragoza,ES
SWE,AFC Eskilstuna,Eskilstuna,SE
SWE,Atvidabergs,Åtvidaberg,SE
SWE,Brage,Borlänge,SE
SWE,Dalkurd,Uppsala,SE
SWE,Falkenbergs,Falkenberg,SE
SWE,Gefle,Gävle,SE
SWE,Helsingborg,Helsingborg,SE
SWE,Jonkopings,Jönköping,SE
SWE,Landskrona,Landskrona,SE
SWE,Ljungskile,Ljungskile,SE
SWE,Norrkoping,Norrköping,SE
SWE,Orebro,Örebro,SE
SWE,Oster,Växjö,SE
SWE,Osters,Växjö,SE
SWE,Ostersunds,Östersund,SE
SWE,Sundsvall,Sundsvall,SE
SWE,Syrianska,Södertälje,SE
SWE,Trelleborgs,Trelleborg,SE
SWE,Varberg,Varberg,SE
SWE,Varnamo,Värnamo,SE
SWZ,Aarau,Aarau,CH
SWZ,Lausanne Ouchy,Lausanne,CH
SWZ,Schaffhausen,Schaffhausen,CH
SWZ,Winterthur,Winterthur,CH
SWZ,Xamax,Neuchâtel,CH
SWZ,Yverdon,Yverdon-les-Bains,CH
T1,A. Sebatspor,Akçaabat,TR
T1,Ad. Demirspor,Adana,TR
T1,Adanaspor,Adana,TR
T1,Akhisar Belediyespor,Akhisar,TR
T1,Altay,İzmir,TR
T1,Ankaragucu,Ankara,TR
T1,Ankaraspor,Ankara,TR
T1,Antalyaspor,Antalya,TR
T1,Balikesirspor,Balıkesir,TR
T1,Bodrumspor,Bodrum,TR
T1,Bucaspor,İzmir,TR
T1,Bursaspor,Bursa,TR
T1,Denizlispor,Denizli,TR
T1,Diyarbakirspor,Diyarbakır,TR
T1,Elazigspor,Elazığ,TR
T1,Erciyesspor,Kayseri,TR
T1,Erzurum BB,Erzurum,TR
T1,Eskisehirspor,Eskişehir,TR
T1,Gaziantepspor,Gaziantep,TR
T1,Giresunspor,Giresun,TR
T1,Hacettepespor,Ankara,TR
T1,Hatayspor,Antakya,TR
T1,Istanbulspor,Istanbul,TR
T1,Karabukspor,Karabük,TR
T1,Karagumruk,Istanbul,TR
T1,Kayserispor,Kayseri,TR
T1,Malatyaspor,Malatya,TR
T1,Manisaspor,Manisa,TR
T1,Mersin Idman Yurdu,Mersin,TR
T1,Oftasspor,Of,TR
T1,Orduspor,Ordu,TR
T1,Osmanlispor,Ankara,TR
T1,Pendikspor,Istanbul,TR
T1,Sakaryaspor,Adapazarı,TR
T1,Siirt Jet-PA,Siirt,TR
T1,Sivasspor,Sivas,TR
T1,Umraniyespor,Istanbul,TR
T1,Yeni Malatyaspor,Malatya,TR
T1,Yozgatspor,Yozgat,TR
USA,Chivas USA,Los Angeles,US
