league_code,wiki_team,matched_raw_team,city,match_score
ARG,Estudiantes,Estudiantes L.P.,La Plata,95.0
ARG,Estudiantes,Estudiantes L.P.,Río Cuarto,95.0
ARG,Gimnasia y Esgrima,Gimnasia L.P.,La Plata,72.38095238095238
ARG,Gimnasia y Esgrima,Gimnasia L.P.,Mendoza,72.38095238095238
ARG,Huracán,Huracan,Buenos Aires,85.71428571428572
ARG,Independiente,Independiente,Avellaneda,100.0
ARG,Independiente Rivadavia,Independiente,Mendoza,90.0
ARG,Instituto,Instituto,Córdoba,100.0
ARG,Lanús,Lanus,Lanús,80.0
ARG,Newell's Old Boys,Newells Old Boys,Rosario,96.96969696969697
ARG,Platense,Platense,Florida Este,100.0
ARG,Racing,Racing Club,Avellaneda,90.0
ARG,River Plate,River Plate,Buenos Aires,100.0
ARG,Rosario Central,Rosario Central,Rosario,100.0
ARG,San Lorenzo,San Lorenzo,Buenos Aires,100.0
ARG,Sarmiento,Sarmiento Junin,Junín,90.0
ARG,Talleres,Talleres Cordoba,Córdoba,90.0
ARG,Tigre,Tigre,Victoria,100.0
ARG,Unión,Union de Santa Fe,Santa Fe,72.0
ARG,Vélez Sarsfield,Velez Sarsfield,Buenos Aires,93.33333333333333
AUT,Austria Lustenau,A. Lustenau,Lustenau,80.0
AUT,Austria Wien,Austria Vienna,Vienna,84.61538461538461
AUT,Grazer AK,Grazer AK,Graz,100.0
AUT,LASK,LASK,Linz,100.0
AUT,SK Rapid,SK Rapid,Vienna,100.0
AUT,Red Bull Salzburg,Salzburg,Wals-Siezenheim,90.0
AUT,Rheindorf Altach,Altach,Altach,90.0
AUT,SV Ried,Ried,Ried im Innkreis,90.0
AUT,Sturm Graz,Sturm Graz,Graz,100.0
AUT,TSV Hartberg,Hartberg,Hartberg,90.0
AUT,Wolfsberger AC,Wolfsberger AC,Wolfsberg,100.0
AUT,WSG Tirol,Tirol,Innsbruck,90.0
BRA,Athletico Paranaense,Parana,Curitiba,90.0
